created_at,entities_cashtags,entities_hashtags,entities_urls,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,entities_mentions,created_at_user,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,media_type,Word_count_Henry08_pos,Word_count_Henry08_neg,Word_count_LM11_pos,Word_count_LM11_neg,Word_count_Hagenau13_pos,Word_count_Hagenau13_neg,News_agencies_names_count,Compound_vader,Positive_vader,Negative_vader,Neutral_vader
2021-09-28 09:23:07,0,0,1,4,0,0,4,0,2009-05-04 14:33:35,21033,947,919,25947,0,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-09-28 06:54:33,0,0,1,0,0,0,0,0,2018-10-05 07:27:29,23,10,0,57287,0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,1.0
2021-09-28 06:54:32,0,0,1,0,0,0,0,0,2018-05-08 10:30:25,48,350,1,57562,0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,1.0
2021-09-28 06:54:29,0,0,1,0,0,0,0,0,2019-09-08 07:56:27,45,62,0,57810,0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,1.0
2021-09-16 14:13:51,0,0,2,0,0,0,0,0,2008-05-15 09:29:37,22511,16210,774,28149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7717,0.15,0.0,0.85
2021-09-15 09:21:00,0,1,1,0,0,0,0,0,2016-03-31 09:13:08,365,582,10,674,0,0.0043859649122807015,0.0,0.0043859649122807015,0.0,0.008771929824561403,0.0,0.0,0.4404,0.073,0.0,0.927
2021-09-15 09:13:41,0,0,1,0,0,0,0,0,2008-05-15 09:29:37,22511,16210,774,28149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4019,0.053,0.0,0.947
2021-09-14 09:01:27,0,0,0,0,0,0,0,0,2017-07-18 18:59:23,80,2,3,74391,0,0.0,0.0,0.0,0.015037593984962405,0.0,0.0,0.0,-0.5859,0.0,0.202,0.798
2021-09-13 05:10:53,0,5,1,0,0,0,0,0,2011-09-08 04:14:49,572,118,21,2376,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7506,0.179,0.0,0.821
2021-09-12 21:31:29,0,0,2,1,0,0,0,1,2012-04-19 07:50:24,281,1212,2,387,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08,0.0,0.92
