created_at,entities_cashtags,entities_hashtags,entities_urls,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,entities_mentions,created_at_user,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,media_type,Word_count_Henry08_pos,Word_count_Henry08_neg,Word_count_LM11_pos,Word_count_LM11_neg,Word_count_Hagenau13_pos,Word_count_Hagenau13_neg,News_agencies_names_count,Compound_vader,Positive_vader,Negative_vader,Neutral_vader
2021-09-30 17:31:03,1,0,0,0,0,0,0,0,2019-12-11 22:33:17,143,0,3,9676,0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.3802,0.166,0.0,0.834
2021-09-30 17:07:39,0,1,0,0,0,0,0,0,2018-01-07 09:23:37,28,12,1,9022,0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.3818,0.206,0.0,0.794
2021-09-30 07:58:16,0,0,1,0,0,0,0,0,2009-02-19 10:17:36,8114,5424,158,260896,0,0.0,0.0,0.0,0.005291005291005291,0.0,0.005291005291005291,0.0,-0.4019,0.139,0.199,0.662
2021-09-30 07:51:55,1,0,1,0,0,0,0,0,2018-12-03 15:43:42,3155,0,95,842153,0,0.0,0.0,0.0,0.007874015748031496,0.003937007874015748,0.003937007874015748,0.0,-0.5574,0.101,0.192,0.707
2021-09-29 21:06:17,1,0,1,0,0,0,0,0,2018-12-03 15:43:42,3155,0,95,842153,0,0.0,0.0,0.0,0.0076045627376425855,0.0038022813688212928,0.0038022813688212928,0.0,-0.3751,0.071,0.157,0.772
2021-09-29 17:30:57,1,0,0,0,0,0,0,0,2019-12-11 22:33:17,143,0,3,9676,0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,-0.2924,0.0,0.179,0.821
2021-09-29 16:15:00,1,0,1,0,0,0,0,0,2020-09-17 10:16:50,161,204,0,11432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1779,0.091,0.0,0.909
2021-09-29 14:33:07,1,0,1,0,0,0,0,0,2018-12-03 15:43:42,3155,0,95,842153,0,0.003861003861003861,0.0,0.003861003861003861,0.007722007722007722,0.003861003861003861,0.003861003861003861,0.0,0.2577,0.175,0.151,0.674
2021-09-29 14:32:28,0,0,1,0,0,0,0,0,2009-02-19 10:17:36,8114,5424,158,260896,0,0.005154639175257732,0.0,0.005154639175257732,0.005154639175257732,0.0,0.005154639175257732,0.0,0.4466,0.234,0.143,0.622
2021-09-29 11:27:54,0,0,1,0,0,0,0,0,2018-02-05 01:42:07,1081,1362,10,255822,0,0.006802721088435374,0.0,0.006802721088435374,0.006802721088435374,0.0,0.006802721088435374,0.0,0.0,0.19,0.19,0.62
