created_at,entities_cashtags,entities_hashtags,entities_urls,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,entities_mentions,created_at_user,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,media_type,Word_count_Henry08_pos,Word_count_Henry08_neg,Word_count_LM11_pos,Word_count_LM11_neg,Word_count_Hagenau13_pos,Word_count_Hagenau13_neg,News_agencies_names_count,Compound_vader,Positive_vader,Negative_vader,Neutral_vader
2021-09-30 11:00:17,0,0,1,0,0,0,0,0,2016-09-07 07:39:51,584,1758,17,153536,0,0.0034965034965034965,0.0,0.0034965034965034965,0.0,0.0,0.0,0.0,0.5719,0.105,0.0,0.895
2021-09-30 10:59:57,0,0,1,0,0,0,0,0,2016-09-07 07:39:51,584,1758,17,153536,0,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-09-29 10:42:38,1,15,4,0,0,0,0,0,2016-03-05 20:58:34,3584,53,64,71810,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4588,0.107,0.0,0.893
2021-09-29 10:42:37,1,15,4,0,0,0,0,0,2016-03-05 20:58:34,3584,53,64,71810,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4588,0.107,0.0,0.893
2021-09-29 08:35:45,0,1,3,0,0,0,0,0,2019-11-27 16:21:43,249,158,3,131175,1,0.0,0.006756756756756757,0.0,0.006756756756756757,0.0,0.0,0.0,-0.0772,0.113,0.132,0.755
2021-09-29 05:26:02,0,0,1,0,0,0,0,0,2010-04-20 11:42:18,1514,897,251,107882,0,0.0,0.0,0.0,0.0,0.0,0.0043859649122807015,0.0,0.0,0.0,0.0,1.0
2021-09-29 03:10:55,0,2,1,0,0,0,0,0,2020-05-17 12:59:43,177,342,2,13880,0,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,1.0
2021-09-28 08:49:32,0,0,1,0,0,0,0,0,2010-04-20 11:42:18,1514,897,251,107882,0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,1.0
2021-09-28 08:21:03,0,0,1,0,0,0,0,0,2010-04-20 11:42:18,1514,897,251,107882,0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,1.0
2021-09-28 03:28:23,0,3,2,0,0,0,0,0,2016-09-04 12:01:28,16691,6806,97,170481,1,0.0,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
