created_at,entities_cashtags,entities_hashtags,entities_urls,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,entities_mentions,created_at_user,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,media_type,Word_count_Henry08_pos,Word_count_Henry08_neg,Word_count_LM11_pos,Word_count_LM11_neg,Word_count_Hagenau13_pos,Word_count_Hagenau13_neg,News_agencies_names_count,Compound_vader,Positive_vader,Negative_vader,Neutral_vader
2021-09-28 13:16:00,0,1,2,0,0,0,0,0,2009-12-16 23:30:24,1370,108,5,10210,1,0.00847457627118644,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.516,0.294,0.0,0.706
2021-09-24 13:10:08,0,0,2,0,0,0,0,0,2009-02-16 05:25:09,6824,1663,118,8016,1,0.0,0.007272727272727273,0.0,0.0036363636363636364,0.0,0.0036363636363636364,0.0,0.0772,0.039,0.0,0.961
2021-09-23 22:26:12,0,0,1,0,0,0,0,0,2008-09-15 13:22:49,7339,2727,326,69936,0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.6369,0.172,0.0,0.828
2021-09-22 01:56:00,0,1,2,0,0,0,1,0,2011-04-20 21:53:38,3642,624,0,9000,1,0.0,0.0,0.0,0.0033112582781456954,0.0,0.0,0.0,0.8555,0.222,0.0,0.778
2021-09-20 19:14:00,0,2,1,0,0,0,0,0,2016-12-28 22:03:44,177,134,5,7314,0,0.022556390977443608,0.0,0.0,0.0,0.0,0.0,0.0,0.4215,0.241,0.0,0.759
2021-09-20 15:20:08,1,0,1,0,0,0,0,0,2020-11-07 11:37:37,409,16,31,267471,0,0.0,0.0,0.0,0.0047169811320754715,0.0047169811320754715,0.0047169811320754715,0.0,0.5267,0.165,0.059,0.776
2021-09-15 05:35:06,0,0,1,0,0,0,0,0,2021-08-03 08:27:58,2,0,0,4294,0,0.007352941176470588,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.3612,0.152,0.0,0.848
2021-09-14 01:06:04,0,0,1,0,0,0,0,0,2017-04-23 16:16:59,5273,3038,113,365153,0,0.007905138339920948,0.0,0.011857707509881422,0.003952569169960474,0.0,0.0,0.0,0.296,0.148,0.085,0.767
2021-09-14 00:43:32,0,0,1,0,0,0,0,0,2016-08-09 04:59:42,29,0,1,49834,0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.2263,0.091,0.0,0.909
2021-09-13 19:50:32,0,0,1,0,0,0,0,0,2018-02-05 01:42:07,1082,1362,10,256157,0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.2263,0.091,0.0,0.909
