author_id,created_at,entities_cashtags,entities_hashtags,entities_urls,tweet_id,possibly_sensitive,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,source,text,entities_mentions,in_reply_to_user_id,created_at_user,location,name,profile_image_url,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username,media_type
568761482,2021-09-30 19:59:49,,"FatBearWeek, MMM, ",,1443727315498938374,False,4,0,0,0,Twitter for Android,@KermytAnderson @Mammals_Suck #FatBearWeek and #MMM are the poles of my year.,"KermytAnderson, Mammals_Suck, ",3243492486,2012-05-01 23:30:22,"Charlottesville, Virginia, USA",🐾Orion&sm9eb📚🏺,https://pbs.twimg.com/profile_images/2497443025/zb5661ob815lvx91c434_normal.jpeg,1674,3417,32,43103,sm9eb,
1352775243899826177,2021-09-30 19:57:22,,,,1443726697791213568,False,0,0,0,0,Twitter Web App,"daqui a 3m 
WELCOME BACK NINETEEN",,,2021-01-22 19:29:01,gotham city📌,thay,https://pbs.twimg.com/profile_images/1427232823451205632/5c7aQXsR_normal.jpg,339,383,5,13560,twxhay2,
1413223598148530179,2021-09-30 19:55:37,"LUNA, ","Terra, ","pic.twitter.com/vcV9uCij7X, ",1443726256663666693,False,0,0,0,0,Twitter Web App,"Congratulations #Terra community! Just surpassed 3M total Terra accounts today, right after the Columbus-5 migration! A fantastic milestone. Each additional 1M accounts will likely push the $LUNA price to new all-time highs, 20%-30% higher. Conservative estimate. https://t.co/vcV9uCij7X",,,2021-07-08 15:49:03,The Moon,Through The Looking Glass 🌖,https://pbs.twimg.com/profile_images/1413584710765252608/3gpIHIFI_normal.jpg,474,842,18,811,ttlg_crew,photo
2555034025,2021-09-30 19:52:26,,,,1443725456566538245,False,0,0,0,0,Gauge Map UK Tweeter,On 30/09/21 at 22:15 the river level was 0.3m.,,,2014-06-08 11:31:52,,Rawcliffe,https://pbs.twimg.com/profile_images/475661580894732288/wEccVcwY_normal.jpeg,7,3,0,4994,riverlevel_1903,
94727634,2021-09-30 19:50:59,,,"pic.twitter.com/hhM1vWtiCL, ",1443725090634416150,False,12,0,0,5,Twitter for Android,"4.3M VIEWS
LET'S GO 5M VIEWS BEFORE 6 PM KST https://t.co/hhM1vWtiCL",,,2009-12-04 23:56:06,"Yogyakarta, Indonesia",STREAM BAD LOVE `ㅂ´🔑💎🦐,https://pbs.twimg.com/profile_images/1445381286764367881/Jk5VMWzm_normal.jpg,500,588,9,316150,lilfreaks1212,photo
3788850554,2021-09-30 19:49:36,,,,1443724744004550659,False,0,0,1,0,Twitter Web App,my streamer for fun has 3m followers,,,2015-10-05 01:28:59,no,(:,https://pbs.twimg.com/profile_images/1448859005305065472/LDsyUvEq_normal.jpg,3,14,0,7470,isnttrisha,
14180993,2021-09-30 19:48:06,,,"twitter.com/asunursing/sta…, ",1443724364948533254,False,3,0,0,0,Twitter Web App,". @NIDDKgov awarded @asunursing $3.3M for their project, “Preventing Diabetes in Latino Families.” 

“The collaboration between @SVdP, @asunursing, @ymca &amp; @PhxChildrens is a true testament to the impact we can achieve when community stakeholders come together.” https://t.co/k2pGerx5qs","NIDDKgov, asunursing, SVdP, asunursing, ymca, PhxChildrens, ",,2008-03-19 20:18:56,"Arizona, United States",St. Vincent de Paul - Arizona,https://pbs.twimg.com/profile_images/631938248118435840/9vW_3YkM_normal.jpg,5541,2012,161,5493,SVdP,
1251188934178148354,2021-09-30 19:48:05,,"NCT127, ","open.spotify.com/track/6txVOdSb…, ",1443724362960588803,False,21,0,0,4,Twitter for Android,"Lemonade (4.3M) passes Chain - Korean Version (4.2M) and Interlude: Neo Zone (4.29M) becoming their 66th most streamed track #NCT127 @NCTsmtown_127 
https://t.co/13kHh0SU9H","NCTsmtown_127, ",,2020-04-17 12:41:16,"#127SQUAD, Neo City",SPOTIFY#127🧛🏾‍♀️🥀,https://pbs.twimg.com/profile_images/1450945658605785090/zNW-u707_normal.jpg,6434,72,131,21803,127onspotify,
1386660560691814401,2021-09-30 19:46:22,"BTR, BTR.ax, ",,,1443723931194572801,False,2,0,0,0,Twitter,"BRIGHTSTAR RESOURCES ( $BTR $BTR.ax )  has released "" Oversubscribed $2.3m Placement to Fund Gold Exploration "" on 1/10/2021 at 9:23 am AEST",,,2021-04-26 08:37:00,"Perth, Western Australia",ASX Market Sensitive Announcements,https://pbs.twimg.com/profile_images/1386985471746613249/Vlhm-Pgb_normal.jpg,818,1,6,16027,ASXMktSensitive,
632847568,2021-09-30 19:46:22,,,,1443723928833249282,False,0,0,0,0,CILConingbegBuoyTweeter,"Avg Wind:28kts, Gust:35kts, Wind Dir:255 °(W), Gust Dir:242 °(SW), Wave Height:2.3m, Water Temp:15.3 °C at 01/10/2021 00:44:00",,,2012-07-11 08:13:48,"52.0533,-6.64278",Coningbeg Buoy,https://pbs.twimg.com/profile_images/536929540170190848/TeSGLTRf_normal.jpeg,911,2,17,208979,ConingbegBuoy,
1166297776293941248,2021-09-30 19:45:09,,,"youtu.be/3Mapgjjc1YY, ",1443723623563284483,False,3,0,0,1,Twitter for Android,"We are already at 4.3M view? Wowwwwwww Clues you guys are the best. I am so proud with you guys 👏🏻👏🏻👏🏻
https://t.co/WoncUK0cqS",,,2019-08-27 06:34:06,,Nad 🌹💙,https://pbs.twimg.com/profile_images/1452513924373368833/PYcXrREd_normal.jpg,207,201,1,7330,meominemo,
1169726037615202305,2021-09-30 19:45:02,"BTR, Gold, ","BrightstarResources, CorkTreeWell, BTR, ","pic.twitter.com/QSXZaMP18c, pic.twitter.com/QSXZaMP18c, ",1443723595406983173,False,8,0,3,1,Twitter Web App,"$BTR ⛏️ #BrightstarResources 

Oversubscribed placement. $2.3m at 2.7c. 
CR done by Canaccord. Sophs added to register. 

Get drilling boys. #CorkTreeWell $Gold #BTR https://t.co/QSXZaMP18c",,,2019-09-05 17:36:48,"Queensland, Australia",Jet Ski Bandit 😎,https://pbs.twimg.com/profile_images/1404311876373139456/hWGeZ-7Y_normal.jpg,3429,465,19,21288,fulovitboss,photo
