author_id,created_at,entities_cashtags,entities_hashtags,entities_urls,tweet_id,possibly_sensitive,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,source,text,entities_mentions,in_reply_to_user_id,created_at_user,location,name,profile_image_url,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username,media_type
34713362,2021-09-29 13:49:29,,,"trib.al/jfxTQsM, ",1443271728839467018,False,20,1,2,1,SocialFlow,"Today on Bloomberg Deals: @katie_roof is live at a tech event in LA, Warby Parker goes public and Drahi recruits a longtime banker https://t.co/2PYXriVAR9","Katie_Roof, ",,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-29 13:29:03,,,"trib.al/nU6z9qM, ",1443266586274586627,False,33,2,2,5,SocialFlow,"Microsoft stock is still on pace for a record 11th straight quarterly gain, despite falling nearly 6% this month https://t.co/t64zpJpNQt",,,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-29 08:45:43,,,"trib.al/LjFLfCy, ",1443195281529507851,False,12,0,1,3,SocialFlow,"Retail investors bought into the biggest selloff of technology shares since May on Tuesday, targeting heavyweights like Apple and Microsoft https://t.co/H0SJ5BCA0F",,,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-28 14:49:02,,,"trib.al/IwDnFu6, ",1442924327750406145,False,123,11,7,16,SocialFlow,"Microsoft says it’s bringing Epic Games to its online app store, and won’t take a cut of purchases made through the digital storefront https://t.co/o0NlFTiX6i",,,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-28 11:58:08,,,"trib.al/TJCEUZX, ",1442881319936172035,False,39,1,5,14,SocialFlow,"Google is so successful that it’s the most searched for term on Microsoft's Bing search engine, the company’s lawyer told an EU court https://t.co/MMnzOMkabo",,,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
69620713,2021-09-28 01:09:09,,,"trib.al/yIuymXK, ",1442717996242309120,False,26,2,3,7,SocialFlow,Microsoft CEO Satya Nadella says the company’s bid to acquire the U.S. assets of ByteDance’s TikTok was the “strangest thing” he’s ever worked on https://t.co/aOkvJLYJhm,,,2009-08-28 11:52:42,New York,Bloomberg Markets,https://pbs.twimg.com/profile_images/991798238519971840/0dG9AoKr_normal.jpg,1064191,286,14325,156113,markets,
34713362,2021-09-28 00:34:03,,,"trib.al/x3Psspi, ",1442709163843457024,False,50,3,4,20,SocialFlow,Microsoft CEO Satya Nadella says the company’s bid to acquire the U.S. assets of ByteDance’s TikTok was the “strangest thing” he’s ever worked on https://t.co/MNsEZt58Qr,,,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-26 21:57:06,,,"trib.al/AY2Wm9A, ",1442307277671837698,False,19,3,1,6,SocialFlow,"120 million Americans don’t have high-speed internet access. Their best hope: Microsoft, Google, and an army of tiny telecoms https://t.co/p9RiOJeQzF via @BW","BW, ",,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-26 08:57:01,,,"trib.al/ZQhsK6a, ",1442110961515630594,False,34,1,5,16,SocialFlow,"120 million Americans don’t have high-speed internet access. Their best hope: Microsoft, Google, and an army of tiny telecoms https://t.co/OPS4j2B4ec via @BW","BW, ",,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-25 17:57:02,,,"trib.al/2mHLcRN, ",1441884476296949760,False,43,2,10,30,SocialFlow,"120 million Americans don’t have high-speed internet access. Their best hope: Microsoft, Google, and an army of tiny telecoms https://t.co/kBbPgzXJ4R via @BW","BW, ",,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-25 09:56:03,,,"trib.al/wyIR8ZB, ",1441763430915088384,False,30,4,3,12,SocialFlow,"120 million Americans don’t have high-speed internet access. Their best hope: Microsoft, Google, and an army of tiny telecoms https://t.co/lU0OYUGidD via @BW","BW, ",,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
34713362,2021-09-24 13:56:06,,,"trib.al/ZziMrnw, ",1441461452938821638,False,22,2,3,11,SocialFlow,"120 million Americans don’t have high-speed internet access. Their best hope: Microsoft, Google, and an army of tiny telecoms https://t.co/T2F1bJ2iNy via @BW","BW, ",,2009-04-23 16:05:17,New York and the World,Bloomberg,https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg,7639283,1361,63572,731832,business,
