author_id,created_at,entities_cashtags,entities_hashtags,entities_urls,tweet_id,possibly_sensitive,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,source,text,entities_mentions,in_reply_to_user_id,created_at_user,location,name,profile_image_url,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username,media_type
1259585761529131008,2020-12-31 19:12:14,"ABBV, ","newyear, nye, stonks, daytraders, cnbc, cramer, ","sweepcast.com, pic.twitter.com/V2e1X6irfx, ",1344798552921436160,False,0,0,0,0,OneUp App,SweepCast observed: $ABBV AbbVie Option Alert: Jan 15 $106 Calls Sweep 🐂 | Try https://t.co/GA7fZBDRYw today! 😎 |#newyear #nye #stonks #daytraders #cnbc #cramer https://t.co/V2e1X6irfx,,,2020-05-10 16:47:07,"Chandler, AZ",SweepCast,https://pbs.twimg.com/profile_images/1282521237600657409/B1n-aP97_normal.jpg,796,30,20,175679,SweepCastApp,photo
1134049078424162304,2020-12-31 13:42:48,"ABBV, ",,"newsfilter.io/articles/4-for…, ",1344715646429503492,False,0,0,0,0,Newsfilter.io,"29,017 shares sold by Gonzalez Richard A (Chairman of the Board and CEO), reported in a new form 4 filed with the S.. $ABBV https://t.co/2mGwUPvn1s",,,2019-05-30 06:49:04,"New York, NY",Investor News,https://pbs.twimg.com/profile_images/1166658906610786306/Z397yIAD_normal.jpg,19039,181,345,878744,newsfilterio,
1134049078424162304,2020-12-31 13:39:50,"ABBV, ",,"newsfilter.io/articles/4-for…, ",1344714901491691522,False,0,0,0,0,Newsfilter.io,"$1,355,038.20 of shares sold by Stewart Jeffrey Ryan (EVP, Commercial Operations), reported in a new form 4 filed with the SEC  $ABBV https://t.co/xMAPBJMbZV",,,2019-05-30 06:49:04,"New York, NY",Investor News,https://pbs.twimg.com/profile_images/1166658906610786306/Z397yIAD_normal.jpg,19039,181,345,878744,newsfilterio,
2344420430,2020-12-31 13:29:27,"ABBV, ",,"insideri.com/1551152_000117…, ",1344712285797969920,False,0,0,0,0,Insider Alerts,"$ABBV:

New Insider Filing on AbbVie Inc.'s

Chairman of the Board and CEO

RICHARD A GONZALEZ:

https://t.co/b2L3ZrFBmw",,,2014-02-14 21:29:07,United States,Insider Alerts,https://pbs.twimg.com/profile_images/548481313670299648/XBAwS1Wn_normal.jpeg,5717,0,171,218534,InsiderAlerts4U,
2344420430,2020-12-31 13:27:23,"ABBV, ",,"insideri.com/1551152_000117…, ",1344711768787058688,False,0,0,0,0,Insider Alerts,"$ABBV:

New Insider Filing on AbbVie Inc.'s

EVP, Commercial Operations

JEFFREY RYAN STEWART:

https://t.co/DQVHGWunyY",,,2014-02-14 21:29:07,United States,Insider Alerts,https://pbs.twimg.com/profile_images/548481313670299648/XBAwS1Wn_normal.jpeg,5717,0,171,218534,InsiderAlerts4U,
2344420430,2020-12-31 13:25:24,"ABBV, ",,"insideri.com/1551152_000117…, ",1344711269476143104,False,0,0,0,0,Insider Alerts,"$ABBV:

New Insider Filing on AbbVie Inc.'s

Vice Chairman

LAURA J SCHUMACHER:

https://t.co/OqHFvlAaFL",,,2014-02-14 21:29:07,United States,Insider Alerts,https://pbs.twimg.com/profile_images/548481313670299648/XBAwS1Wn_normal.jpeg,5717,0,171,218534,InsiderAlerts4U,
1188117778567454720,2020-12-31 13:20:17,"ABBV, ",,"jodie.ai/shareholder/17…, ",1344709980692357121,False,0,0,0,0,jodietheai,"Jeffrey Ryan Stewart, EVP, Commercial Operations of ABBVIE INC. - $ABBV sold 25290 shares to now own a total of 50969, anomalous of their normal trading pattern.

https://t.co/spHtPn9770",,,2019-10-26 11:38:58,London,Jodie Insights,https://pbs.twimg.com/profile_images/1310896987466760198/cVg3gmLj_normal.jpg,624,1782,16,28832,jodietheai,
1278474376074145795,2020-12-31 13:20:03,"ABBV, ","stock2020, ","insiderdrop.com, ",1344709922676727808,False,0,0,0,0,Twitter,"An executive and/or major shareholder of $ABBV (AbbVie Inc.) reportedly sold ~$ 2,655,450 worth of shares

➡️ https://t.co/EUocy7ZmFg ⬅️

 #stock2020",,,2020-07-01 19:43:59,,insiderdrop,https://pbs.twimg.com/profile_images/1280996191443001345/mul90PPh_normal.jpg,92,0,0,7424,insiderdrop,
772471873539977217,2020-12-31 13:16:52,"ABBV, ",,"sec.gov/Archives/edgar…, ",1344709121564696576,False,0,0,0,0,StockTexts,$ABBV AbbVie Inc. SEC Filing: Form 4 https://t.co/QUKNEFltBF,,,2016-09-04 12:30:21,,StockTexts,https://pbs.twimg.com/profile_images/894058885715120128/gnTzTFBx_normal.jpg,1865,1,45,509949,StockTexts,
1262915121103491074,2020-12-31 13:16:28,"ABBV, ","FWSells, ","formwhispers.com/s?t=ABBV, ",1344709019856818177,False,0,0,0,0,formwhispers,"#FWSells $ABBV Stewart Jeffrey Ryan, EVP, Commercial Operations of AbbVie Inc. sold 25,290 shares on 2020-12-29. https://t.co/R44g0gvG43",,,2020-05-19 21:16:52,NYC,FormWhispers,https://pbs.twimg.com/profile_images/1262916709889052674/RFMmgJhJ_normal.jpg,757,0,16,69176,formwhisperscom,
