,source,text,created_at,id,retweet_count,reply_count,like_count,quote_count,author_id,name,followers_count,following_count,tweet_count,listed_count,username
0,Twitter for iPhone,"@MyuDalimo @SnakeFragile @MrEtuke @technology @business You are so fucking beginner in the crypto space it hurts to hear. Get ur shit together and start researching. You are not smarter than SnP500 companies and Small Governments. You need to figure out for yourself WHY people give it value. 

READ AND LEARN or ur ngmi",2021-10-11T19:21:02.000Z,1394348271494041601,0,0,0,0,1394348271494041601,Tilque🦇🔊,11,78,137,4,TheTilque
1,LinkedIn,"Please pay attention.
#semiconductorindustry #semiconductorshortage #investingtips

""We are only 30 years into the Technology Revolution, by far the fastest growing sector in the world. 
The reason that 95% of all advisors cannot beat the SnP500 is becaus…https://t.co/nISRQtqNhv",2021-10-11T18:42:15.000Z,1430265403847159818,0,0,0,0,1430265403847159818,Helios Capital Advisors,1,5,21,0,helios_advisors
2,LinkedIn,"Please pay attention.
#semiconductorindustry #semiconductorshortage #investingtips

""We are only 30 years into the Technology Revolution, by far the fastest growing sector in the world. 
The reason that 95% of all advisors cannot beat the SnP500 is becaus…https://t.co/q4RpdEaSMT",2021-10-11T18:41:32.000Z,1430265403847159818,0,0,0,0,1430265403847159818,Helios Capital Advisors,1,5,21,0,helios_advisors
3,Twitter Web App,"RT @mamabearmentors: Hope everyone ran with their plays and stopped in time to take profits/cut losses. ʕノ)ᴥ(ヾʔ

#stocks #StockSucks #Stock…",2021-10-11T15:11:39.000Z,88878874,2,0,0,0,88878874,Emmanuel Rivera,16,104,181,0,Kingdom_Gains
4,GetReal360,"RT @mamabearmentors: Hope everyone ran with their plays and stopped in time to take profits/cut losses. ʕノ)ᴥ(ヾʔ

#stocks #StockSucks #Stock…",2021-10-11T15:11:29.000Z,983305505589243905,2,0,0,0,983305505589243905,AC,1588,223,97984,18,YouCanFoolMost
5,Buffer,"Hope everyone ran with their plays and stopped in time to take profits/cut losses. ʕノ)ᴥ(ヾʔ

#stocks #StockSucks #StocksNBonds #StocksAndShares #tendies #optionstrading #money #stocktrading #profits #StockMarket #stonks #stock #technicalanalysis #money #daytrading #SPY #SnP500 https://t.co/oFbansQXcJ",2021-10-11T15:11:03.000Z,1406239100613574665,2,0,1,0,1406239100613574665,Mama Bear Mentors,887,24,66,0,mamabearmentors
6,Twitter Web App,Find out today what are the 5 Stocks that Pays You More Than 10% of Dividend Yield. Know what happens this week with the market analysis of #SNP500  and #BTC  (#Bitcoin) https://t.co/rusvKpDxWY,2021-10-11T08:49:25.000Z,41093278,0,0,0,0,41093278,"Hugo Silva - Code, Bikes & Finance",126,137,332,4,HugoRochaSilva
7,Twitter for Android,"Get Rich Without Reading News???
.
 #Savings #invest #Investment #money #stocks #investing #index #snp500 https://t.co/3YfOrU59ja",2021-10-11T02:34:32.000Z,1419413565476204545,0,2,1,0,1419413565476204545,Kanna Jaey - Money,49,688,38,0,kannajaeymoney
8,Twitter for Android,"RT @ToneVays: There is an over-expectation on interest rates related to the stock market. 

Watch the full Q&amp;A: https://t.co/Q0VOj8yDCD

#s…",2021-10-11T02:27:34.000Z,195797144,8,0,0,0,195797144,𝗧𝗼𝗻𝗲 𝗩𝗮𝘆𝘀 (#𝗘𝗻𝗱𝗟𝗼𝗰𝗸𝗱𝗼𝘄𝗻𝘀🤑 🌏),10524,11772,5169,152,Master_PTF
9,Twitter for Android,"RT @ToneVays: It seems like the correlation between the #snp500 and BTC is back, look how appears to lead, but #Bitcoin keeps a different m…",2021-10-11T02:24:19.000Z,195797144,11,0,0,0,195797144,𝗧𝗼𝗻𝗲 𝗩𝗮𝘆𝘀 (#𝗘𝗻𝗱𝗟𝗼𝗰𝗸𝗱𝗼𝘄𝗻𝘀🤑 🌏),10524,11772,5169,152,Master_PTF
